FECHA LANCE;LATITUD;LONGITUD;No LANCE;TIPO LANCE;TALLA;
27/03/2005;15;95;44;LANATUN;81;
27/03/2005;15;95;44;LANATUN;82;
27/03/2005;15;95;44;LANATUN;79;
27/03/2005;15;95;44;LANATUN;85;
27/03/2005;15;95;44;LANATUN;82;
27/03/2005;15;95;44;LANATUN;81;
27/03/2005;15;95;44;LANATUN;79;
27/03/2005;15;95;44;LANATUN;85;
27/03/2005;15;95;44;LANATUN;83;
27/03/2005;15;95;44;LANATUN;79;
27/03/2005;15;95;44;LANATUN;83;
27/03/2005;15;95;44;LANATUN;84;
27/03/2005;15;95;44;LANATUN;76;
27/03/2005;15;95;44;LANATUN;85;
27/03/2005;15;95;44;LANATUN;80;
27/03/2005;15;95;44;LANATUN;79;
27/03/2005;15;95;44;LANATUN;78;
27/03/2005;15;95;44;LANATUN;76;
27/03/2005;15;95;44;LANATUN;81;
27/03/2005;15;95;44;LANATUN;78;
27/03/2005;15;95;44;LANATUN;81;
27/03/2005;15;95;44;LANATUN;77;
27/03/2005;15;95;44;LANATUN;79;
27/03/2005;15;96;47;LANATUN;81;
27/03/2005;15;96;47;LANATUN;76;
27/03/2005;15;96;47;LANATUN;82;
27/03/2005;15;96;47;LANATUN;78;
27/03/2005;15;96;47;LANATUN;80;
27/03/2005;15;96;47;LANATUN;79;
27/03/2005;15;96;47;LANATUN;79;
27/03/2005;15;96;47;LANATUN;81;
27/03/2005;15;96;47;LANATUN;77;
27/03/2005;15;96;47;LANATUN;79;
27/03/2005;15;96;47;LANATUN;80;
27/03/2005;15;96;47;LANATUN;83;
27/03/2005;15;96;47;LANATUN;77;
27/03/2005;15;96;47;LANATUN;75;
27/03/2005;15;96;47;LANATUN;79;
27/03/2005;15;96;47;LANATUN;83;
27/03/2005;15;96;47;LANATUN;81;
27/03/2005;15;96;47;LANATUN;77;
27/03/2005;15;96;47;LANATUN;76;
27/03/2005;15;96;47;LANATUN;81;
27/03/2005;15;96;47;LANATUN;82;
27/03/2005;15;96;47;LANATUN;81;
27/03/2005;15;96;47;LANATUN;77;
27/03/2005;15;96;47;LANATUN;79;
27/03/2005;15;96;47;LANATUN;82;
27/03/2005;15;96;47;LANATUN;83;
27/03/2005;15;96;47;LANATUN;79;
27/03/2005;15;96;47;LANATUN;84;
27/03/2005;15;96;47;LANATUN;79;
27/03/2005;15;96;47;LANATUN;82;
27/03/2005;15;96;47;LANATUN;79;
27/03/2005;15;96;47;LANATUN;80;
27/03/2005;15;96;47;LANATUN;82;
27/03/2005;15;96;47;LANATUN;79;
27/03/2005;15;96;47;LANATUN;81;
27/03/2005;15;96;47;LANATUN;83;
27/03/2005;15;96;47;LANATUN;84;
27/03/2005;15;96;47;LANATUN;85;
27/03/2005;15;96;47;LANATUN;81;
27/03/2005;15;96;47;LANATUN;79;
27/03/2005;15;96;47;LANATUN;83;
27/03/2005;15;96;47;LANATUN;79;
27/03/2005;15;96;47;LANATUN;81;
27/03/2005;15;96;47;LANATUN;86;
28/03/2005;15;96;50;LANATUN;77;
28/03/2005;15;96;50;LANATUN;79;
28/03/2005;15;96;50;LANATUN;76;
28/03/2005;15;96;50;LANATUN;78;
28/03/2005;15;96;50;LANATUN;81;
28/03/2005;15;96;50;LANATUN;79;
28/03/2005;15;96;50;LANATUN;82;
28/03/2005;15;96;50;LANATUN;78;
28/03/2005;15;96;50;LANATUN;75;
28/03/2005;15;96;50;LANATUN;78;
28/03/2005;15;96;50;LANATUN;75;
28/03/2005;15;96;50;LANATUN;79;
28/03/2005;15;96;50;LANATUN;78;
28/03/2005;15;96;50;LANATUN;81;
28/03/2005;15;96;50;LANATUN;77;
28/03/2005;15;96;50;LANATUN;78;
28/03/2005;15;96;50;LANATUN;83;
28/03/2005;15;96;50;LANATUN;86;
28/03/2005;15;96;50;LANATUN;79;
28/03/2005;15;96;50;LANATUN;77;
28/03/2005;15;96;50;LANATUN;79;
28/03/2005;15;96;50;LANATUN;77;
28/03/2005;15;96;50;LANATUN;76;
28/03/2005;15;96;50;LANATUN;79;
28/03/2005;15;96;50;LANATUN;80;
28/03/2005;15;96;50;LANATUN;82;
28/03/2005;15;96;50;LANATUN;79;
28/03/2005;15;96;50;LANATUN;81;
28/03/2005;15;96;50;LANATUN;83;
28/03/2005;15;96;50;LANATUN;78;
28/03/2005;15;96;50;LANATUN;77;
28/03/2005;15;96;50;LANATUN;79;
28/03/2005;15;96;50;LANATUN;81;
28/03/2005;15;96;50;LANATUN;83;
28/03/2005;15;96;50;LANATUN;79;
28/03/2005;15;96;50;LANATUN;76;
28/03/2005;15;96;50;LANATUN;81;
28/03/2005;15;96;50;LANATUN;83;
28/03/2005;15;96;50;LANATUN;76;
28/03/2005;15;96;50;LANATUN;78;
28/03/2005;15;96;50;LANATUN;81;
28/03/2005;15;96;50;LANATUN;82;
28/03/2005;15;96;50;LANATUN;76;
28/03/2005;15;96;50;LANATUN;75;
28/03/2005;15;96;50;LANATUN;77;
28/03/2005;15;96;50;LANATUN;75;
28/03/2005;15;96;50;LANATUN;78;
28/03/2005;15;96;50;LANATUN;79;
28/03/2005;15;96;50;LANATUN;81;
28/03/2005;15;96;50;LANATUN;83;
19/03/2005;15;95;40;LANATUN;66;
19/03/2005;15;95;40;LANATUN;69;
19/03/2005;15;95;40;LANATUN;113;
19/03/2005;15;95;40;LANATUN;78;
19/03/2005;15;95;40;LANATUN;74;
19/03/2005;15;95;40;LANATUN;77;
19/03/2005;15;95;40;LANATUN;90;
19/03/2005;15;95;40;LANATUN;81;
19/03/2005;15;95;40;LANATUN;84;
19/03/2005;15;95;40;LANATUN;95;
21/03/2005;15;95;43;LANATUN;68;
21/03/2005;15;95;43;LANATUN;84;
21/03/2005;15;95;43;LANATUN;73;
21/03/2005;15;95;43;LANATUN;71;
21/03/2005;15;95;43;LANATUN;69;
21/03/2005;15;95;43;LANATUN;61;
21/03/2005;15;95;43;LANATUN;72;
21/03/2005;15;95;43;LANATUN;76;
21/03/2005;15;95;43;LANATUN;75;
21/03/2005;15;95;43;LANATUN;81;
