FECHADMA;LATITUD;LONGITUD;TIPOLANCE;TALLA
31/03/2007;15;95;LANATUN;45
31/03/2007;15;95;LANATUN;45
31/03/2007;15;95;LANATUN;45
31/03/2007;15;95;LANATUN;45
31/03/2007;15;95;LANATUN;45
31/03/2007;15;95;LANATUN;45
31/03/2007;15;95;LANATUN;45
31/03/2007;15;95;LANATUN;45
31/03/2007;15;95;LANATUN;45
31/03/2007;15;95;LANATUN;45
18/07/2007;25;112;LANATUN;45
18/07/2007;25;112;LANATUN;45
18/07/2007;25;112;LANATUN;45
18/07/2007;25;112;LANATUN;45
18/07/2007;25;112;LANATUN;45
24/07/2007;30;116;LANATUN;45
27/07/2007;31;116;LANATUN;45
19/07/2007;25;112;LANATUN;46
19/07/2007;25;112;LANATUN;46
19/07/2007;25;112;LANATUN;46
20/07/2007;24;112;LANATUN;46
20/07/2007;24;112;LANATUN;46
20/07/2007;24;112;LANATUN;46
20/07/2007;24;112;LANATUN;46
20/07/2007;24;112;LANATUN;46
20/07/2007;24;112;LANATUN;46
20/07/2007;24;112;LANATUN;46
20/07/2007;24;112;LANATUN;46
20/07/2007;24;112;LANATUN;46
20/07/2007;24;112;LANATUN;46
26/07/2007;26;114;LANATUN;46
26/07/2007;26;114;LANATUN;46
26/07/2007;26;114;LANATUN;46
26/07/2007;26;114;LANATUN;46
26/07/2007;26;114;LANATUN;46
26/07/2007;26;114;LANATUN;46
26/07/2007;26;114;LANATUN;46
26/07/2007;26;114;LANATUN;46
30/08/2007;25;112;LANATUN;46
26/01/2007;11;101;LANATUN;46
26/01/2007;11;101;LANATUN;46
26/01/2007;11;101;LANATUN;46
26/01/2007;11;101;LANATUN;46
26/01/2007;11;101;LANATUN;46
26/01/2007;11;101;LANATUN;46
26/01/2007;11;101;LANATUN;46
24/03/2007;15;95;LANATUN;46
29/03/2007;15;97;LANATUN;46
29/03/2007;15;97;LANATUN;46
31/03/2007;15;95;LANATUN;46
31/03/2007;15;95;LANATUN;46
31/03/2007;15;95;LANATUN;46
31/03/2007;15;95;LANATUN;46
31/03/2007;15;95;LANATUN;46
31/03/2007;15;95;LANATUN;46
31/03/2007;15;95;LANATUN;46
31/03/2007;15;95;LANATUN;46
31/03/2007;15;95;LANATUN;46
31/03/2007;15;95;LANATUN;46
31/03/2007;15;95;LANATUN;46
31/03/2007;15;95;LANATUN;46
31/03/2007;15;95;LANATUN;46
31/03/2007;15;95;LANATUN;46
18/07/2007;25;112;LANATUN;46
18/07/2007;25;112;LANATUN;46
09/06/2007;16;117;LANATUN;47
09/06/2007;16;117;LANATUN;47
09/06/2007;16;117;LANATUN;47
09/06/2007;16;117;LANATUN;47
09/06/2007;16;117;LANATUN;47
19/07/2007;25;112;LANATUN;47
19/07/2007;25;112;LANATUN;47
19/07/2007;25;112;LANATUN;47
19/07/2007;25;112;LANATUN;47
19/07/2007;25;112;LANATUN;47
20/07/2007;24;112;LANATUN;47
20/07/2007;24;112;LANATUN;47
20/07/2007;24;112;LANATUN;47
20/07/2007;24;112;LANATUN;47
20/07/2007;24;112;LANATUN;47
20/07/2007;24;112;LANATUN;47
26/07/2007;26;114;LANATUN;47
26/07/2007;26;114;LANATUN;47
26/07/2007;26;114;LANATUN;47
19/07/2007;25;112;LANATUN;47
26/08/2007;25;112;LANATUN;47
19/07/2007;25;112;LANATUN;47
20/07/2007;24;112;LANATUN;47
20/07/2007;24;112;LANATUN;47
20/07/2007;24;112;LANATUN;47
20/07/2007;24;112;LANATUN;47
26/07/2007;26;114;LANATUN;47
26/07/2007;26;114;LANATUN;47
26/07/2007;26;114;LANATUN;47
30/08/2007;25;112;LANATUN;47
30/08/2007;25;112;LANATUN;47
26/01/2007;11;101;LANATUN;47
26/01/2007;11;101;LANATUN;47
26/01/2007;11;101;LANATUN;47
26/01/2007;11;101;LANATUN;47
26/01/2007;11;101;LANATUN;47
24/03/2007;15;95;LANATUN;47
24/03/2007;15;95;LANATUN;47
24/03/2007;15;95;LANATUN;47
24/03/2007;15;95;LANATUN;47
24/03/2007;15;95;LANATUN;47
29/03/2007;15;97;LANATUN;47
29/03/2007;15;97;LANATUN;47
29/03/2007;15;97;LANATUN;47
29/03/2007;15;97;LANATUN;47
29/03/2007;15;97;LANATUN;47
31/03/2007;15;95;LANATUN;47
31/03/2007;15;95;LANATUN;47
31/03/2007;15;95;LANATUN;47
31/03/2007;15;95;LANATUN;47
31/03/2007;15;95;LANATUN;47
31/03/2007;15;95;LANATUN;47
31/03/2007;15;95;LANATUN;47
31/03/2007;15;95;LANATUN;47
31/03/2007;15;95;LANATUN;47
31/03/2007;15;95;LANATUN;47
31/03/2007;15;95;LANATUN;47
31/03/2007;15;95;LANATUN;47
31/03/2007;15;95;LANATUN;47
31/03/2007;15;95;LANATUN;47
31/03/2007;15;95;LANATUN;47
31/03/2007;15;95;LANATUN;47
18/07/2007;25;112;LANATUN;47
18/07/2007;25;112;LANATUN;47
18/07/2007;25;112;LANATUN;47
18/07/2007;25;112;LANATUN;47
18/07/2007;25;112;LANATUN;47
18/07/2007;25;112;LANATUN;47
24/07/2007;30;116;LANATUN;47
24/07/2007;30;116;LANATUN;47
30/07/2007;31;117;LANATUN;47
04/08/2007;32;117;LANATUN;47
09/06/2007;16;117;LANATUN;48
09/06/2007;16;117;LANATUN;48
09/06/2007;16;117;LANATUN;48
09/06/2007;16;117;LANATUN;48
09/06/2007;16;117;LANATUN;48
09/06/2007;16;117;LANATUN;48
09/04/2007;10;109;LANATUN;48
09/04/2007;10;109;LANATUN;48
09/04/2007;10;109;LANATUN;48
09/04/2007;10;109;LANATUN;48
09/04/2007;10;109;LANATUN;48
09/04/2007;10;109;LANATUN;48
29/03/2007;15;97;LANATUN;48
29/04/2007;20;112;LANATUN;48
17/04/2007;13;106;LANATUN;48
17/04/2007;13;106;LANATUN;48
17/04/2007;13;106;LANATUN;48
21/04/2007;13;106;LANATUN;48
03/05/2007;9;100;LANATUN;48
19/07/2007;25;112;LANATUN;48
19/07/2007;25;112;LANATUN;48
19/07/2007;25;112;LANATUN;48
19/07/2007;25;112;LANATUN;48
19/07/2007;25;112;LANATUN;48
20/07/2007;24;112;LANATUN;48
20/07/2007;24;112;LANATUN;48
20/07/2007;24;112;LANATUN;48
20/07/2007;24;112;LANATUN;48
20/07/2007;24;112;LANATUN;48
20/07/2007;24;112;LANATUN;48
20/07/2007;24;112;LANATUN;48
20/07/2007;24;112;LANATUN;48
26/07/2007;26;114;LANATUN;48
26/07/2007;26;114;LANATUN;48
